$U_k^l$,$A_1 = \{Green\}$,$A_2 = \{Light\}$
$U_{1}^1$,9,9
$U_{2}^1$,7,6
$U_{3}^1$,6,9
$U_{4}^1$,6,9
$U_{5}^2$,8,9
$U_{6}^2$,6,8
$U_{7}^2$,8,9
$U_{8}^2$,7,7
