$A_1 = \{Green\}$,Visual,,,,,,Visual,,,,,,Visual,,,,,,Visual,,,,,,Touching,,,,,,Touching,,,,,,Touching,,,,,,Touching,,,,,,,,Visual disability,,,Touching disability,
,$U_{1}^1$,,,,,,$U_{2}^1$,,,,,,$U_{3}^1$,,,,,,$U_{4}^1$,,,,,,$U_{5}^2$,,,,,,$U_{6}^2$,,,,,,$U_{7}^2$,,,,,,$U_{8}^2$,,,,,,General,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,Satisfaction,% Efficiency,% Success
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,Satisfaction,% Efficiency,% Success
$A_2 = \{Light\}$,1,60,59,1,1,3,1,60,60,55,1,4,1,60,19,1,1,4,1,60,16,1,1,3,1,60,55,1,1,3,1,60,55,1,1,3,1,60,50,1,1,3,1,5,25,1,1,4,100.00%,100.00%,100.00%,100.00%,"(Satisfying, 0.38)",100.00%,100.00%
,2,20,18,1,1,3,2,20,20,20,1,4,2,20,16,1,1,4,2,20,14,1,1,3,2,20,12,1,1,3,2,20,10,1,1,4,2,20,8,1,1,3,2,20,10,1,1,3,100.00%,100.00%,66.67%,100.00%,"(Satisfying, 0.38)",100.00%,100.00%
,3,35,10,1,1,4,3,35,35,18,1,3,3,35,6,1,1,3,3,35,2,1,1,3,3,35,5,1,1,3,3,35,30,1,1,3,3,35,30,1,1,3,3,10,35,1,1,4,100.00%,100.00%,66.67%,100.00%,"(Satisfying, 0.25)",100.00%,100.00%
,4,15,5,1,1,3,4,15,15,4,1,4,4,15,6,1,1,4,4,15,5,1,1,3,4,15,7,1,1,2,4,15,5,1,1,3,4,15,5,1,1,3,4,30,5,1,1,3,100.00%,100.00%,33.33%,33.33%,"(Satisfying, 0.13)",100.00%,100.00%
,5,240,296,0,1,4,5,240,240,150,1,3,5,240,150,1,1,3,5,240,146,1,1,2,5,240,340,0,1,2,5,240,140,1,1,2,5,240,130,1,1,3,5,30,140,1,1,1,75.00%,100.00%,33.33%,66.67%,"(Satisfying, 0.50)",75.00%,100.00%
,6,250,171,1,1,3,6,250,250,220,1,4,6,250,157,1,1,4,6,250,162,1,1,2,6,250,142,1,1,3,6,250,60,1,1,3,6,250,58,1,1,4,6,30,25,1,1,4,100.00%,100.00%,100.00%,100.00%,"(Satisfying, 0.38)",100.00%,100.00%
,7,100,59,1,1,4,7,100,100,33,1,4,7,100,40,1,1,3,7,100,38,1,1,3,7,100,16,1,1,2,7,100,30,1,1,3,7,100,28,1,1,3,7,120,25,1,1,4,100.00%,100.00%,66.67%,100.00%,"(Satisfying, 0.25)",100.00%,100.00%
,8,90,83,1,1,3,8,90,90,88,1,3,8,90,95,0,1,3,8,90,80,1,1,3,8,90,50,1,1,2,8,90,65,1,1,3,8,90,56,1,1,4,8,30,45,1,1,3,87.50%,100.00%,33.33%,100.00%,"(Satisfying, 0.0)",75.00%,100.00%
,9,60,47,1,1,4,9,60,60,33,1,1,9,60,30,1,1,4,9,60,30,1,1,3,9,60,20,1,1,2,9,60,5,1,1,4,9,60,3,1,1,4,9,120,8,1,1,4,100.00%,100.00%,0.00%,100.00%,"(Satisfying, 0.25)",100.00%,100.00%
,10,120,152,0,1,4,10,120,120,93,1,4,10,120,32,1,1,3,10,120,31,1,1,3,10,120,101,1,1,2,10,120,25,1,1,3,10,120,23,1,1,4,10,30,10,1,1,3,87.50%,100.00%,33.33%,100.00%,"(Satisfying, 0.25)",75.00%,100.00%
,11,30,27,1,1,3,11,30,30,11,1,4,11,30,24,1,1,3,11,30,21,1,1,4,11,30,10,1,1,3,11,30,25,1,1,3,11,30,23,1,1,4,11,45,20,1,1,3,100.00%,100.00%,100.00%,100.00%,"(Satisfying, 0.38)",100.00%,100.00%
,12,120,84,1,1,4,12,120,120,27,1,4,12,120,31,1,1,3,12,120,30,1,1,3,12,120,20,1,1,2,12,120,35,1,1,3,12,120,34,1,1,3,12,30,30,1,1,3,100.00%,100.00%,100.00%,100.00%,"(Satisfying, 0.13)",100.00%,100.00%
,13,35,30,1,1,2,13,35,35,35,1,2,13,35,22,1,1,4,13,35,18,1,1,4,13,35,25,1,1,2,13,35,28,1,1,3,13,35,25,1,1,3,13,120,30,1,1,3,100.00%,100.00%,33.33%,66.67%,"(Satisfying, -0.12)",100.00%,100.00%
