$A_1= \{CULagos\},TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,Visual,,,,,,TOUCH,,,,,,TOUCH,,,,,,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,TOUCH,,,,,,Hearing,,,,,,,,Visual disability,,,Hearing disability,,,>,,,General UT Score,,,,
,$U_1^1$,,,,,,U_2,,,,,,U_3,,,,,,U_4,,,,,,U_5,,,,,,U_6,,,,,,U_7,,,,,,U_8,,,,,,U_9,,,,,,U_10,,,,,,U_11,,,,,,U_12,,,,,,U_13,,,,,,U_14,,,,,,U_15,,,,,,General,,,,,,,,,,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,,% Efficiency,% Success,,% Efficiency,% Success,,,,,,
,10,30,24,1,1,3,10,30,40,0,0,0,10,30,33,0,1,3,10,30,34,0,0,0,10,30,27,1,1,4,10,30,40,0,1,3,10,30,30,1,1,3,10,30,30,1,1,3,10,30,27,1,1,4,10,30,21,1,1,3,10,30,27,1,1,2,10,30,26,1,1,3,10,30,23,1,1,3,10,30,28,1,1,4,10,30,25,1,1,3,73.33%,86.67%,33.33%,66.67%,"(indifferent,-0.0714)",80.00%,80.00%,"(satisfying,-0.4565)",73.33%,86.67%,"(satisfying,0.1385)",2.476,indifferent,0.476,"(indifferent,0.476)",
,11,45,59,0,0,0,11,45,56,0,0,0,11,45,34,1,1,3,11,45,58,0,0,0,11,45,50,0,0,1,11,45,49,0,0,0,11,45,45,1,0,0,11,45,33,1,1,3,11,45,37,1,1,4,11,45,61,0,0,1,11,45,50,0,0,0,11,45,39,1,1,3,11,45,54,0,0,0,11,45,33,1,1,2,11,45,38,1,1,2,46.67%,40.00%,33.33%,33.33%,"(a little satisfying,-0.0357)",20.00%,20.00%,"(a little satisfying,-0.2174)",46.67%,40.00%,"(indifferent,-0.2923)",1.133,a little satisfying,0.133,"(a little satisfying,0.1328)",
,12,30,28,1,1,3,12,30,23,1,1,1,12,30,38,0,1,2,12,30,30,0,1,2,12,30,22,1,1,4,12,30,28,1,1,2,12,30,25,1,1,2,12,30,25,1,1,3,12,30,21,1,1,4,12,30,29,1,1,3,12,30,21,1,1,2,12,30,24,1,1,3,12,30,24,1,1,3,12,30,29,1,1,4,12,30,28,1,1,3,86.67%,100.00%,66.67%,100.00%,"(indifferent,0.3214)",100.00%,100.00%,"(satisfying,-0.2391)",86.67%,100.00%,"(satisfying,-0.1538)",2.611,satisfying,-0.389,"(satisfying,-0.3893)",
,13,120,157,0,1,3,13,120,158,0,1,0,13,120,102,1,1,3,13,120,113,1,1,2,13,120,158,0,0,1,13,120,156,0,1,3,13,120,93,1,1,3,13,120,94,1,1,3,13,120,119,1,1,4,13,120,101,1,1,4,13,120,86,1,1,1,13,120,111,1,1,3,13,120,108,1,1,3,13,120,88,1,1,4,13,120,120,1,1,4,73.33%,93.33%,66.67%,100.00%,"(satisfying,-0.3571)",60.00%,80.00%,"(indifferent,0.3478)",73.33%,93.33%,"(satisfying,0)",2.661,satisfying,-0.339,"(satisfying,-0.3385)",
,14,45,39,1,1,3,14,45,37,1,1,3,14,45,51,0,1,2,14,45,36,1,1,4,14,45,43,1,1,4,14,45,57,0,1,3,14,45,41,1,1,3,14,45,58,0,1,3,14,45,37,1,1,4,14,45,36,1,1,3,14,45,39,1,1,2,14,45,52,0,1,2,14,45,40,1,1,3,14,45,48,0,1,4,14,45,36,1,1,4,66.67%,100.00%,33.33%,100.00%,"(satisfying,0.0357)",100.00%,100.00%,"(satisfying,0.3913)",66.67%,100.00%,"(satisfying,-0.0154)",3.127,satisfying,0.127,"(satisfying,0.1271)",
,15,120,116,1,1,3,15,120,105,1,1,2,15,120,137,0,1,3,15,120,134,0,1,1,15,120,147,0,1,3,15,120,143,0,1,3,15,120,174,0,1,3,15,120,174,0,1,3,15,120,104,1,1,4,15,120,153,0,1,3,15,120,101,1,1,2,15,120,112,1,1,3,15,120,94,1,1,3,15,120,102,1,1,3,15,120,119,1,1,4,53.33%,100.00%,33.33%,100.00%,"(indifferent,0.2857)",60.00%,100.00%,"(satisfying,-0.0217)",53.33%,100.00%,"(satisfying,0)",2.708,satisfying,-0.292,"(satisfying,-0.2922)",
,16,20,20,0,0,0,16,20,25,0,0,0,16,20,25,0,1,3,16,20,26,0,1,1,16,20,14,1,1,4,16,20,19,1,1,2,16,20,16,1,1,3,16,20,21,0,1,3,16,20,19,1,1,4,16,20,15,1,1,3,16,20,28,0,0,1,16,20,18,1,1,3,16,20,16,1,1,3,16,20,14,1,1,4,16,20,17,1,1,4,60.00%,80.00%,66.67%,100.00%,"(indifferent,-0.0357)",80.00%,80.00%,"(satisfying,-0.2609)",60.00%,80.00%,"(satisfying,-0.4615)",2.369,indifferent,0.369,"(indifferent,0.369)",
,17,45,38,1,1,3,17,45,32,1,1,4,17,45,62,0,1,2,17,45,60,0,1,3,17,45,41,1,1,4,17,45,63,0,1,2,17,45,33,1,1,3,17,45,55,0,1,2,17,45,33,1,1,4,17,45,42,1,1,4,17,45,34,1,1,2,17,45,59,0,1,3,17,45,38,1,1,4,17,45,41,1,1,4,17,45,50,0,1,4,60.00%,100.00%,0.00%,100.00%,"(satisfying,-0.3214)",80.00%,100.00%,"(very satisfying,0)",60.00%,100.00%,"(satisfying,-0.1538)",3.125,satisfying,0.125,"(satisfying,0.1253)",
,18,90,64,1,1,3,18,90,63,1,1,3,18,90,69,1,0,0,18,90,84,1,1,1,18,90,85,1,1,2,18,90,126,0,0,2,18,90,114,0,1,2,18,90,75,1,1,2,18,90,87,1,1,2,18,90,126,0,0,1,18,90,108,0,0,0,18,90,82,1,1,2,18,90,71,1,1,3,18,90,90,1,1,4,18,90,100,0,1,2,66.67%,73.33%,66.67%,66.67%,"(indifferent,-0.3571)",60.00%,80.00%,"(indifferent,0.2174)",66.67%,73.33%,"(indifferent,-0.1538)",1.876,indifferent,-0.124,"(indifferent,-0.1238)",
,19,90,96,0,1,2,19,90,74,1,1,2,19,90,116,0,1,3,19,90,85,1,1,2,19,90,64,1,1,4,19,90,118,0,1,2,19,90,81,1,1,3,19,90,94,0,1,2,19,90,90,1,1,2,19,90,63,1,1,4,19,90,70,1,1,1,19,90,80,1,1,3,19,90,67,1,1,4,19,90,76,1,1,3,19,90,122,0,1,3,66.67%,100.00%,66.67%,100.00%,"(indifferent,0.3214)",80.00%,100.00%,"(satisfying,0.3696)",66.67%,100.00%,"(indifferent,0.2923)",2.627,satisfying,-0.373,"(satisfying,-0.3729)",
,20,600,609,0,0,0,20,600,651,0,0,0,20,600,489,1,0,0,20,600,769,0,0,2,20,600,686,0,0,1,20,600,675,0,0,0,20,600,516,1,1,3,20,600,571,1,1,1,20,600,583,1,1,1,20,600,772,0,0,1,20,600,440,1,1,2,20,600,498,1,1,1,20,600,454,1,0,3,20,600,535,1,1,3,20,600,529,1,1,3,60.00%,46.67%,33.33%,33.33%,"(a little satisfying,0.0357)",40.00%,20.00%,"(indifferent,-0.4348)",60.00%,46.67%,"(a little satisfying,0.3846)",1.299,a little satisfying,0.299,"(a little satisfying,0.2992)",
,21,180,214,0,1,3,21,180,134,1,1,4,21,180,251,0,1,4,21,180,182,0,1,3,21,180,172,1,1,4,21,180,137,1,1,3,21,180,139,1,1,3,21,180,168,1,1,2,21,180,150,1,1,4,21,180,259,0,1,4,21,180,162,1,1,1,21,180,170,1,1,3,21,180,139,1,1,3,21,180,169,1,1,4,21,180,158,1,1,4,73.33%,100.00%,66.67%,100.00%,"(satisfying,0)",80.00%,100.00%,"(very satisfying,-0.1957)",73.33%,100.00%,"(satisfying,0.0154)",3.246,satisfying,0.246,"(satisfying,0.2459)",
,22,60,65,0,0,0,22,60,79,0,0,0,22,60,43,1,0,0,22,60,77,0,0,1,22,60,79,0,0,1,22,60,44,1,0,0,22,60,60,1,0,0,22,60,69,0,0,4,22,60,87,0,0,1,22,60,73,0,0,1,22,60,86,0,0,0,22,60,49,1,0,0,22,60,45,1,0,0,22,60,53,1,1,3,22,60,80,0,0,0,40.00%,6.67%,66.67%,0.00%,"(unsatisfying,0.3571)",20.00%,0.00%,"(unsatisfying,0.3913)",40.00%,6.67%,"(a little satisfying,0.1077)",0.593,a little satisfying,-0.407,"(a little satisfying,-0.4074)",
