$A_1= \{CULagos\},TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,Visual,,,,,,TOUCH,,,,,,TOUCH,,,,,,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,TOUCH,,,,,,Hearing,,,,,,,,Visual disability,,,Hearing disability,,,>,,,General UT Score,,,,
,$U_1^1$,,,,,,U_2,,,,,,U_3,,,,,,U_4,,,,,,U_5,,,,,,U_6,,,,,,U_7,,,,,,U_8,,,,,,U_9,,,,,,U_10,,,,,,U_11,,,,,,U_12,,,,,,U_13,,,,,,U_14,,,,,,U_15,,,,,,General,,,,,,,,,,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,,% Efficiency,% Success,,% Efficiency,% Success,,,,,,
,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,Visual,,,,,,TOUCH,,,,,,TOUCH,,,,,,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,TOUCH,,,,,,Hearing,,,,,,,,Visual disability,,,Hearing disability,,,>,,,General UT Score,,,,
,$U_1^1$,,,,,,U_2,,,,,,U_3,,,,,,U_4,,,,,,U_5,,,,,,U_6,,,,,,U_7,,,,,,U_8,,,,,,U_9,,,,,,U_10,,,,,,U_11,,,,,,U_12,,,,,,U_13,,,,,,U_14,,,,,,U_15,,,,,,General,,,,,,,,,,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,,% Efficiency,% Success,,% Efficiency,% Success,,,,,,
A_2 cunorte,1,5,4,1,1,4,1,5,4,1,1,4,1,5,5,1,1,4,1,5,4,1,1,4,1,5,4,1,1,3,1,5,5,1,1,4,1,5,5,1,1,4,1,5,4,1,1,4,1,5,4,1,1,4,1,5,5,1,1,3,1,5,5,1,1,1,1,5,5,1,1,3,1,5,4,1,1,3,1,5,5,1,1,4,1,5,4,1,1,3,100.00%,100.00%,100.00%,100.00%,"(very satisfying,-0.3214)",100.00%,100.00%,"(satisfying,0.2174)",100.00%,100.00%,"(very satisfying,-0.4154)",3.512,very satisfying,-0.488,"(very satisfying,-0.488)",
,2,20,19,1,1,3,2,20,20,1,1,4,2,20,19,1,1,4,2,20,24,0,1,4,2,20,19,1,1,3,2,20,16,1,1,3,2,20,18,1,1,4,2,20,17,1,1,4,2,20,16,1,1,4,2,20,17,1,1,4,2,20,22,0,1,2,2,20,16,1,1,3,2,20,14,1,1,3,2,20,18,1,1,4,2,20,26,0,1,3,80.00%,100.00%,66.67%,100.00%,"(satisfying,0.3571)",80.00%,100.00%,"(satisfying,0.413)",80.00%,100.00%,"(very satisfying,-0.4308)",3.438,satisfying,0.438,"(satisfying,0.4375)",
,3,10,11,0,1,3,3,10,7,1,1,3,3,10,7,1,1,4,3,10,11,0,1,4,3,10,8,1,1,3,3,10,8,1,1,3,3,10,8,1,1,4,3,10,7,1,1,4,3,10,12,0,1,4,3,10,8,1,1,4,3,10,11,0,1,4,3,10,10,1,1,3,3,10,11,0,1,3,3,10,13,0,1,4,3,10,13,0,1,2,53.33%,100.00%,66.67%,100.00%,"(satisfying,0.3571)",60.00%,100.00%,"(satisfying,0)",53.33%,100.00%,"(very satisfying,-0.1538)",3.397,satisfying,0.397,"(satisfying,0.3967)",
,4,30,23,1,0,0,4,30,38,0,0,1,4,30,28,1,1,3,4,30,31,0,0,0,4,30,32,0,0,1,4,30,42,0,0,0,4,30,28,1,1,1,4,30,21,1,0,1,4,30,21,1,1,4,4,30,35,0,0,0,4,30,23,1,1,3,4,30,23,1,1,1,4,30,36,0,1,1,4,30,42,0,0,1,4,30,34,0,0,0,46.67%,40.00%,33.33%,33.33%,"(unsatisfying,0.3214)",0.00%,20.00%,"(a little satisfying,-0.3913)",46.67%,40.00%,"(indifferent,-0.1538)",0.865,a little satisfying,-0.135,"(a little satisfying,-0.135)",
,5,30,34,0,0,0,5,30,37,0,0,1,5,30,25,1,1,3,5,30,32,0,0,0,5,30,34,0,0,1,5,30,30,0,1,1,5,30,25,1,0,0,5,30,28,1,0,1,5,30,28,1,1,4,5,30,37,0,0,0,5,30,36,0,0,0,5,30,27,1,1,2,5,30,22,1,1,3,5,30,34,0,0,0,5,30,21,1,1,3,46.67%,40.00%,33.33%,66.67%,"(a little satisfying,-0.0357)",40.00%,40.00%,"(indifferent,-0.413)",46.67%,40.00%,"(a little satisfying,0.1538)",1.208,a little satisfying,0.208,"(a little satisfying,0.208)",
,6,30,26,1,1,4,6,30,23,1,1,4,6,30,24,1,1,4,6,30,21,1,1,4,6,30,27,1,1,3,6,30,21,1,1,1,6,30,26,1,1,4,6,30,22,1,1,4,6,30,28,1,1,4,6,30,23,1,1,3,6,30,30,1,1,4,6,30,21,1,1,3,6,30,30,1,1,3,6,30,36,0,1,3,6,30,41,0,1,2,86.67%,100.00%,100.00%,100.00%,"(satisfying,-0.2857)",80.00%,100.00%,"(satisfying,0.0217)",86.67%,100.00%,"(very satisfying,-0.1385)",3.151,satisfying,0.151,"(satisfying,0.1507)",
,7,120,109,1,1,4,7,120,168,0,1,2,7,120,114,1,1,3,7,120,92,1,1,4,7,120,134,0,1,2,7,120,126,0,1,2,7,120,84,1,1,3,7,120,109,1,1,3,7,120,111,1,1,2,7,120,164,0,1,3,7,120,117,1,1,4,7,120,97,1,1,4,7,120,135,0,1,3,7,120,173,0,1,4,7,120,131,0,1,2,53.33%,100.00%,66.67%,100.00%,"(satisfying,0.3571)",0.00%,100.00%,"(indifferent,0.3913)",53.33%,100.00%,"(satisfying,0.2923)",3.048,satisfying,0.048,"(satisfying,0.0479)",
,8,30,32,0,1,4,8,30,42,0,1,2,8,30,29,1,1,3,8,30,41,0,1,3,8,30,27,1,1,3,8,30,32,0,1,3,8,30,29,1,1,3,8,30,41,0,1,2,8,30,22,1,1,3,8,30,26,1,1,3,8,30,34,0,0,0,8,30,30,1,1,2,8,30,26,1,1,1,8,30,32,0,1,4,8,30,38,0,1,2,46.67%,93.33%,33.33%,100.00%,"(satisfying,-0.3214)",60.00%,100.00%,"(indifferent,0.1957)",46.67%,93.33%,"(satisfying,-0.2615)",2.552,satisfying,-0.448,"(satisfying,-0.4483)",
,9,120,167,0,0,0,9,120,90,1,1,3,9,120,115,1,1,3,9,120,169,0,1,3,9,120,90,1,1,3,9,120,166,0,1,1,9,120,86,1,1,2,9,120,107,1,0,1,9,120,106,1,1,3,9,120,103,1,1,3,9,120,95,1,1,3,9,120,173,0,1,2,9,120,95,1,1,3,9,120,140,0,0,2,9,120,92,1,1,2,66.67%,80.00%,0.00%,100.00%,"(indifferent,0.0357)",100.00%,100.00%,"(satisfying,-0.1957)",66.67%,80.00%,"(indifferent,-0.0154)",2.251,indifferent,0.251,"(indifferent,0.251)",
,10,30,29,1,1,2,10,30,24,1,0,1,10,30,27,1,1,3,10,30,33,0,1,2,10,30,40,0,0,1,10,30,23,1,1,3,10,30,25,1,1,4,10,30,21,1,1,4,10,30,26,1,1,3,10,30,27,1,1,3,10,30,24,1,1,2,10,30,36,0,1,3,10,30,25,1,1,3,10,30,31,0,1,3,10,30,34,0,0,0,66.67%,80.00%,33.33%,100.00%,"(satisfying,-0.3571)",60.00%,40.00%,"(indifferent,-0.413)",66.67%,80.00%,"(satisfying,-0.0154)",2.429,indifferent,0.429,"(indifferent,0.4286)",
,11,45,38,1,0,0,11,45,40,1,0,0,11,45,38,1,1,3,11,45,41,1,1,3,11,45,51,0,0,1,11,45,45,1,1,3,11,45,36,1,0,0,11,45,37,1,1,4,11,45,34,1,1,3,11,45,34,1,1,3,11,45,41,1,1,2,11,45,41,1,1,2,11,45,43,1,1,3,11,45,57,0,0,1,11,45,62,0,0,0,80.00%,60.00%,100.00%,100.00%,"(satisfying,-0.3214)",60.00%,40.00%,"(a little satisfying,0.3696)",80.00%,60.00%,"(indifferent,-0.1538)",2.036,indifferent,0.036,"(indifferent,0.0361)",
,12,30,29,1,1,3,12,30,23,1,1,3,12,30,26,1,1,4,12,30,21,1,1,4,12,30,22,1,1,4,12,30,28,1,1,3,12,30,22,1,1,4,12,30,27,1,1,4,12,30,29,1,1,4,12,30,28,1,1,3,12,30,30,1,1,4,12,30,27,1,1,2,12,30,29,1,1,3,12,30,23,1,1,3,12,30,30,1,1,2,100.00%,100.00%,100.00%,100.00%,"(satisfying,0.0357)",100.00%,100.00%,"(satisfying,0)",100.00%,100.00%,"(very satisfying,-0.2923)",3.227,satisfying,0.227,"(satisfying,0.2266)",
,13,120,128,0,1,1,13,120,86,1,1,2,13,120,116,1,1,3,13,120,149,0,0,1,13,120,116,1,1,4,13,120,168,0,1,2,13,120,106,1,1,3,13,120,120,1,1,4,13,120,97,1,1,3,13,120,89,1,1,2,13,120,98,1,1,4,13,120,115,1,1,3,13,120,149,0,1,1,13,120,97,1,1,3,13,120,141,0,1,2,66.67%,93.33%,33.33%,66.67%,"(indifferent,-0.0357)",60.00%,100.00%,"(indifferent,0.1957)",66.67%,93.33%,"(satisfying,-0.0308)",2.335,indifferent,0.335,"(indifferent,0.3352)",
,14,45,61,0,0,2,14,45,50,0,0,2,14,45,42,1,1,3,14,45,55,0,1,3,14,45,40,1,1,4,14,45,33,1,1,3,14,45,38,1,1,2,14,45,40,1,1,4,14,45,44,1,1,4,14,45,34,1,1,3,14,45,45,1,1,3,14,45,60,0,1,3,14,45,33,1,1,3,14,45,45,1,1,3,14,45,37,1,1,2,73.33%,86.67%,33.33%,100.00%,"(satisfying,0)",80.00%,80.00%,"(satisfying,-0.2174)",73.33%,86.67%,"(satisfying,-0.0154)",2.930,satisfying,-0.070,"(satisfying,-0.0698)",
,15,120,93,1,1,3,15,120,98,1,1,3,15,120,103,1,1,3,15,120,86,1,1,2,15,120,109,1,1,4,15,120,114,1,1,2,15,120,103,1,1,3,15,120,119,1,1,4,15,120,84,1,1,3,15,120,100,1,1,3,15,120,106,1,1,3,15,120,118,1,1,3,15,120,120,1,1,3,15,120,98,1,1,1,15,120,88,1,1,3,100.00%,100.00%,100.00%,100.00%,"(indifferent,0.3214)",100.00%,100.00%,"(satisfying,0.1957)",100.00%,100.00%,"(satisfying,-0.1385)",2.746,satisfying,-0.254,"(satisfying,-0.2543)",
,16,20,18,1,1,3,16,20,15,1,1,3,16,20,17,1,1,3,16,20,20,1,1,3,16,20,19,1,1,4,16,20,14,1,0,1,16,20,17,1,1,2,16,20,14,1,1,4,16,20,19,1,1,3,16,20,14,1,1,3,16,20,18,1,1,4,16,20,20,1,1,2,16,20,16,1,1,3,16,20,24,0,1,2,16,20,14,1,1,4,93.33%,93.33%,100.00%,66.67%,"(indifferent,0.0357)",100.00%,100.00%,"(satisfying,0.3913)",93.33%,93.33%,"(satisfying,0)",2.732,satisfying,-0.268,"(satisfying,-0.2683)",
,17,45,44,1,1,3,17,45,44,1,1,2,17,45,35,1,1,3,17,45,60,0,1,4,17,45,35,1,1,4,17,45,41,1,1,4,17,45,32,1,1,4,17,45,43,1,1,3,17,45,34,1,1,4,17,45,56,0,1,2,17,45,34,1,1,2,17,45,42,1,1,3,17,45,45,1,1,1,17,45,47,0,1,4,17,45,54,0,1,3,73.33%,100.00%,66.67%,100.00%,"(very satisfying,-0.3214)",60.00%,100.00%,"(indifferent,0.3913)",73.33%,100.00%,"(satisfying,0.2769)",3.172,satisfying,0.172,"(satisfying,0.1719)",
,18,90,63,1,1,1,18,90,129,0,1,2,18,90,66,1,1,3,18,90,101,0,1,2,18,90,76,1,1,4,18,90,78,1,1,3,18,90,78,1,1,4,18,90,83,1,1,2,18,90,75,1,1,3,18,90,67,1,1,2,18,90,85,1,1,3,18,90,85,1,1,2,18,90,66,1,1,1,18,90,102,0,0,2,18,90,90,1,1,2,80.00%,93.33%,66.67%,100.00%,"(indifferent,0.3214)",80.00%,100.00%,"(indifferent,0.1957)",80.00%,93.33%,"(satisfying,-0.4462)",2.353,indifferent,0.353,"(indifferent,0.3534)",
,19,90,70,1,1,2,19,90,88,1,1,3,19,90,78,1,1,3,19,90,74,1,1,3,19,90,67,1,1,2,19,90,128,0,1,1,19,90,86,1,1,4,19,90,80,1,1,2,19,90,69,1,1,3,19,90,74,1,1,2,19,90,79,1,1,1,19,90,91,0,0,0,19,90,88,1,1,3,19,90,76,1,1,3,19,90,95,0,0,0,80.00%,86.67%,33.33%,66.67%,"(a little satisfying,0.3929)",80.00%,80.00%,"(indifferent,0.0217)",80.00%,86.67%,"(satisfying,-0.4308)",1.934,indifferent,-0.066,"(indifferent,-0.0656)",
,20,600,532,1,0,1,20,600,480,1,0,2,20,600,437,1,1,3,20,600,499,1,1,4,20,600,540,1,1,3,20,600,558,1,1,2,20,600,442,1,1,3,20,600,818,0,1,1,20,600,734,0,0,0,20,600,475,1,1,1,20,600,557,1,1,2,20,600,472,1,1,3,20,600,514,1,1,1,20,600,668,0,0,2,20,600,591,1,1,2,80.00%,73.33%,100.00%,100.00%,"(satisfying,0.0357)",100.00%,80.00%,"(indifferent,-0.1957)",80.00%,73.33%,"(indifferent,-0.2769)",2.273,indifferent,0.273,"(indifferent,0.2725)",
,21,180,155,1,1,3,21,180,163,1,1,3,21,180,160,1,1,3,21,180,259,0,1,3,21,180,132,1,1,1,21,180,152,1,1,2,21,180,152,1,1,4,21,180,180,1,1,3,21,180,140,1,1,3,21,180,221,0,0,0,21,180,238,0,0,0,21,180,158,1,1,2,21,180,189,0,1,0,21,180,241,0,1,3,21,180,185,0,1,4,60.00%,86.67%,66.67%,100.00%,"(indifferent,0.3571)",40.00%,80.00%,"(indifferent,-0.3696)",60.00%,86.67%,"(satisfying,-0.2769)",2.249,indifferent,0.249,"(indifferent,0.2489)",
,22,60,54,1,1,0,22,60,43,1,0,2,22,60,42,1,1,3,22,60,83,0,1,3,22,60,52,1,1,1,22,60,56,1,1,2,22,60,49,1,0,0,22,60,85,0,0,1,22,60,83,0,0,0,22,60,80,0,0,0,22,60,49,1,1,2,22,60,68,0,0,2,22,60,86,0,1,0,22,60,76,0,0,1,22,60,66,0,1,3,46.67%,53.33%,33.33%,66.67%,"(indifferent,0.3571)",40.00%,60.00%,"(a little satisfying,0.2174)",46.67%,53.33%,"(a little satisfying,0.0154)",1.613,indifferent,-0.387,"(indifferent,-0.3873)",
,23,60,53,1,1,3,23,60,55,1,1,3,23,60,60,1,1,3,23,60,69,0,0,0,23,60,57,1,1,1,23,60,47,1,1,1,23,60,46,1,1,1,23,60,43,1,1,3,23,60,53,1,1,3,23,60,66,0,1,2,23,60,71,0,0,0,23,60,63,0,1,2,23,60,42,1,1,1,23,60,59,1,1,4,23,60,58,1,1,2,73.33%,86.67%,33.33%,66.67%,"(a little satisfying,-0.0357)",80.00%,100.00%,"(indifferent,-0.1739)",73.33%,86.67%,"(indifferent,0.4462)",1.667,indifferent,-0.333,"(indifferent,-0.3326)",
,24,120,123,0,1,2,24,120,97,1,1,3,24,120,108,1,1,3,24,120,168,0,1,3,24,120,172,0,0,1,24,120,115,1,1,2,24,120,150,0,1,0,24,120,107,1,1,3,24,120,84,1,1,2,24,120,93,1,1,3,24,120,153,0,0,0,24,120,103,1,1,2,24,120,106,1,1,3,24,120,115,1,1,4,24,120,153,0,0,0,60.00%,80.00%,66.67%,100.00%,"(indifferent,0.3571)",60.00%,60.00%,"(indifferent,0.0217)",60.00%,80.00%,"(indifferent,0.0154)",2.154,indifferent,0.154,"(indifferent,0.154)",
,25,30,24,1,1,3,25,30,23,1,1,3,25,30,27,1,1,3,25,30,26,1,1,3,25,30,31,0,0,1,25,30,25,1,1,3,25,30,27,1,1,2,25,30,27,1,1,3,25,30,22,1,1,3,25,30,28,1,1,3,25,30,21,1,1,3,25,30,26,1,1,3,25,30,21,1,1,2,25,30,21,1,1,4,25,30,22,1,1,1,93.33%,93.33%,100.00%,100.00%,"(satisfying,0)",80.00%,80.00%,"(indifferent,0.0217)",93.33%,93.33%,"(satisfying,0)",2.707,satisfying,-0.293,"(satisfying,-0.2935)",
,26,30,24,1,1,2,26,30,29,1,1,3,26,30,22,1,1,3,26,30,27,1,1,3,26,30,27,1,1,1,26,30,43,0,1,2,26,30,26,1,1,3,26,30,25,1,1,3,26,30,25,1,1,3,26,30,23,1,1,3,26,30,29,1,1,2,26,30,29,1,1,3,26,30,24,1,1,2,26,30,26,1,1,4,26,30,34,0,0,0,86.67%,93.33%,66.67%,100.00%,"(satisfying,-0.3214)",80.00%,80.00%,"(indifferent,-0.1739)",86.67%,93.33%,"(satisfying,-0.1538)",2.473,indifferent,0.473,"(indifferent,0.4731)",
,27,45,36,1,1,1,27,45,33,1,0,1,27,45,32,1,1,3,27,45,49,0,0,1,27,45,51,0,0,1,27,45,39,1,1,2,27,45,32,1,1,2,27,45,38,1,1,4,27,45,39,1,1,3,27,45,51,0,0,1,27,45,52,0,1,1,27,45,43,1,1,3,27,45,39,1,1,2,27,45,34,1,1,4,27,45,43,1,1,2,73.33%,73.33%,66.67%,66.67%,"(indifferent,-0.0357)",60.00%,40.00%,"(a little satisfying,0.3913)",73.33%,73.33%,"(satisfying,-0.4462)",1.969,indifferent,-0.031,"(indifferent,-0.0307)",
,28,60,58,1,1,4,28,60,50,1,1,4,28,60,49,1,1,3,28,60,69,0,1,3,28,60,42,1,1,3,28,60,76,0,1,3,28,60,66,0,1,2,28,60,51,1,1,4,28,60,50,1,1,3,28,60,85,0,1,3,28,60,76,0,1,1,28,60,73,0,1,2,28,60,50,1,1,1,28,60,49,1,1,4,28,60,60,1,1,2,60.00%,100.00%,0.00%,100.00%,"(satisfying,-0.3214)",80.00%,100.00%,"(satisfying,-0.3696)",60.00%,100.00%,"(satisfying,0.0154)",2.765,satisfying,-0.235,"(satisfying,-0.2348)",
,,,,,,2.178571429,,0,,,,2.464285714,,0,,,,3.178571429,,,,,,2.714285714,,,,,,2.392857143,,,,,,2.214285714,,0,,,,2.571428571,,,,,,3,,,,,,3.035714286,,,,,,2.321428571,,,,,,2.142857143,,,,,,2.428571429,,,,,,2.107142857,,,,,,2.892857143,,,,,,1.892857143,,,60.71%,89.29%,"(indifferent,0.4617)",68.57%,81.43%,"(indifferent,0.2407)",72.38%,85.24%,"(satisfying,-0.2868)",2.471,indifferent,0.471,"(indifferent,0.4709)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,Visual,,,,,,TOUCH,,,,,,TOUCH,,,,,,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,TOUCH,,,,,,Hearing,,,,,,,,Visual disability,,,Hearing disability,,,>,,,,,,,
,$U_1^1$,,,,,,U_2,,,,,,U_3,,,,,,U_4,,,,,,U_5,,,,,,U_6,,,,,,U_7,,,,,,U_8,,,,,,U_9,,,,,,U_10,,,,,,U_11,,,,,,U_12,,,,,,U_13,,,,,,U_14,,,,,,U_15,,,,,,General,,,,,,,,,,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,,% Efficiency,% Success,,% Efficiency,% Success,,,,,,
A_3 tonala,1,5,5,1,1,4,1,5,5,1,1,2,1,5,6,0,1,4,1,5,6,0,1,1,1,5,5,1,1,4,1,5,6,0,1,3,1,5,5,1,1,3,1,5,4,1,1,4,1,5,4,1,1,4,1,5,4,1,1,2,1,5,5,1,1,4,1,5,5,1,1,3,1,5,5,1,1,3,1,5,4,1,1,4,1,5,4,1,1,2,80.00%,100.00%,33.33%,100.00%,"(indifferent,0.2857)",100.00%,100.00%,"(satisfying,-0.413)",85.71%,100.00%,"(very satisfying,-0.1385)",2.849,satisfying,-0.151,"(satisfying,-0.1512)",
,2,20,15,1,1,3,2,20,28,0,1,2,2,20,25,0,1,4,2,20,29,0,1,0,2,20,26,0,1,3,2,20,24,0,1,3,2,20,24,0,1,3,2,20,24,0,1,3,2,20,29,0,1,2,2,20,27,0,1,3,2,20,28,0,1,3,2,20,27,0,1,3,2,20,17,1,1,3,2,20,14,1,1,4,2,20,21,0,1,2,20.00%,100.00%,0.00%,100.00%,"(indifferent,-0.0714)",20.00%,100.00%,"(satisfying,-0.413)",20.00%,100.00%,"(satisfying,0.1538)",2.494,indifferent,0.494,"(indifferent,0.4937)",
,3,10,8,1,1,3,3,10,13,0,1,2,3,10,13,0,1,3,3,10,12,0,1,1,3,10,12,0,0,1,3,10,12,0,1,4,3,10,9,1,1,4,3,10,11,0,1,4,3,10,11,0,1,3,3,10,10,1,1,3,3,10,14,0,1,4,3,10,14,0,1,3,3,10,8,1,1,3,3,10,11,0,1,3,3,10,8,1,1,2,33.33%,93.33%,0.00%,100.00%,"(satisfying,-0.3929)",60.00%,80.00%,"(indifferent,0.1957)",33.33%,93.33%,"(satisfying,0.4154)",2.726,satisfying,-0.274,"(satisfying,-0.2738)",
,4,30,30,1,0,1,4,30,24,1,1,2,4,30,28,1,1,4,4,30,21,1,1,2,4,30,25,1,0,1,4,30,42,0,1,2,4,30,27,1,0,1,4,30,38,0,1,3,4,30,21,1,1,2,4,30,26,1,1,4,4,30,42,0,1,2,4,30,28,1,1,3,4,30,29,1,1,3,4,30,22,1,1,2,4,30,22,1,1,1,80.00%,80.00%,66.67%,100.00%,"(indifferent,0.3214)",100.00%,80.00%,"(indifferent,0.1957)",80.00%,80.00%,"(indifferent,0.1538)",2.233,indifferent,0.233,"(indifferent,0.2334)",
,5,30,34,0,0,1,5,30,22,1,1,2,5,30,39,0,1,0,5,30,31,0,0,0,5,30,25,1,1,3,5,30,36,0,1,0,5,30,26,1,1,2,5,30,33,0,1,3,5,30,41,0,1,3,5,30,28,1,0,0,5,30,36,0,1,3,5,30,43,0,0,0,5,30,42,0,0,0,5,30,26,1,1,3,5,30,28,1,1,1,40.00%,66.67%,0.00%,33.33%,"(unsatisfying,0)",80.00%,60.00%,"(a little satisfying,0.2174)",40.00%,66.67%,"(indifferent,0.0923)",0.993,a little satisfying,-0.007,"(a little satisfying,-0.0071)",
,6,30,23,1,1,1,6,30,33,0,0,1,6,30,32,0,1,3,6,30,37,0,0,0,6,30,37,0,1,4,6,30,38,0,1,2,6,30,42,0,1,3,6,30,41,0,1,4,6,30,34,0,1,3,6,30,39,0,1,3,6,30,33,0,1,4,6,30,33,0,1,3,6,30,25,1,1,3,6,30,31,0,1,3,6,30,36,0,1,2,13.33%,86.67%,0.00%,66.67%,"(indifferent,-0.3929)",20.00%,80.00%,"(satisfying,-0.4348)",13.33%,86.67%,"(satisfying,-0.0308)",2.303,indifferent,0.303,"(indifferent,0.3032)",
,7,120,162,0,1,3,7,120,153,0,1,3,7,120,122,0,1,4,7,120,155,0,1,1,7,120,170,0,1,4,7,120,150,0,1,3,7,120,144,0,1,3,7,120,126,0,1,4,7,120,156,0,1,3,7,120,146,0,1,2,7,120,146,0,1,4,7,120,167,0,1,3,7,120,173,0,1,3,7,120,112,1,1,4,7,120,95,1,1,3,13.33%,100.00%,0.00%,100.00%,"(indifferent,0.2857)",20.00%,100.00%,"(satisfying,0)",13.33%,100.00%,"(very satisfying,-0.4308)",2.885,satisfying,-0.115,"(satisfying,-0.1149)",
,8,30,28,1,1,3,8,30,26,1,1,3,8,30,35,0,1,4,8,30,42,0,0,0,8,30,29,1,1,4,8,30,35,0,1,4,8,30,33,0,1,3,8,30,35,0,1,3,8,30,39,0,1,3,8,30,39,0,1,3,8,30,36,0,1,3,8,30,35,0,1,3,8,30,30,1,1,3,8,30,25,1,1,4,8,30,40,0,1,3,33.33%,93.33%,0.00%,66.67%,"(indifferent,0.25)",60.00%,100.00%,"(satisfying,0.1957)",33.33%,93.33%,"(satisfying,0.2923)",2.846,satisfying,-0.154,"(satisfying,-0.1536)",
,9,120,91,1,1,3,9,120,136,0,0,0,9,120,157,0,1,3,9,120,135,0,0,0,9,120,116,1,1,4,9,120,121,0,1,3,9,120,103,1,1,3,9,120,157,0,1,3,9,120,110,1,1,4,9,120,102,1,1,2,9,120,171,0,1,3,9,120,136,0,1,3,9,120,141,0,1,2,9,120,101,1,1,3,9,120,119,1,1,2,46.67%,86.67%,0.00%,66.67%,"(indifferent,-0.0714)",60.00%,80.00%,"(indifferent,-0.0435)",46.67%,86.67%,"(satisfying,0.1385)",2.300,indifferent,0.300,"(indifferent,0.2999)",
